Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
511333,VLSFINANCE,VLS FINANCE LTD.,-,Dividend - Rs. - 1.5000,-,24 Oct 2020,30 Oct 2020,-,-,-
523754,MAHEPC,Mahindra EPC Irrigation Ltd,28 Jul 2020,Dividend - Rs. - 1.2000,-,30 Jul 2020,03 Aug 2020,23 Jul 2020,29 Jul 2020,-
502450,SESHAPAPER,SESHASAYEE PAPER & BOARDS LTD.,28 Jul 2020,Dividend - Rs. - 3.5000,-,30 Jul 2020,08 Aug 2020,23 Jul 2020,29 Jul 2020,-
502450,SESHAPAPER,SESHASAYEE PAPER & BOARDS LTD.,28 Jul 2020,Special Dividend - Rs. - 0.5000,-,30 Jul 2020,08 Aug 2020,23 Jul 2020,29 Jul 2020,-
541540,SOLARA,Solara Active Pharma Sciences Ltd,28 Jul 2020,Dividend - Rs. - 2.0000,-,30 Jul 2020,04 Aug 2020,23 Jul 2020,29 Jul 2020,-
506235,ALEMBICLTD,ALEMBIC LTD.,29 Jul 2020,Final Dividend - Rs. - 0.6000,-,31 Jul 2020,07 Aug 2020,24 Jul 2020,30 Jul 2020,-
500043,BATAINDIA,BATA INDIA LTD.,29 Jul 2020,Dividend - Rs. - 4.0000,-,31 Jul 2020,06 Aug 2020,24 Jul 2020,30 Jul 2020,-
507488,GMBREW,G.M.BREWERIES LTD.,29 Jul 2020,Final Dividend - Rs. - 3.0000,-,31 Jul 2020,06 Aug 2020,24 Jul 2020,30 Jul 2020,-
533248,GPPL,GUJARAT PIPAVAV PORT LTD.,29 Jul 2020,Final Dividend - Rs. - 3.5000,-,31 Jul 2020,06 Aug 2020,24 Jul 2020,30 Jul 2020,-
523160,MORGANITE,MORGANITE CRUCIBLE (INDIA) LTD.,29 Jul 2020,Final Dividend - Rs. - 16.0000,-,31 Jul 2020,06 Aug 2020,24 Jul 2020,30 Jul 2020,-
500672,NOVARTIND,NOVARTIS INDIA LTD.,29 Jul 2020,Final Dividend - Rs. - 10.0000,-,31 Jul 2020,07 Aug 2020,24 Jul 2020,30 Jul 2020,-
532538,ULTRACEMCO,ULTRATECH CEMENT LTD.,29 Jul 2020,Final Dividend - Rs. - 13.0000,-,31 Jul 2020,12 Aug 2020,24 Jul 2020,30 Jul 2020,-
530999,BALAMINES,BALAJI AMINES LTD.-$,30 Jul 2020,Final Dividend - Rs. - 0.6000,-,01 Aug 2020,08 Aug 2020,27 Jul 2020,30 Jul 2020,-
501430,BOMBCYC,BOMBAY CYCLE & MOTOR AGENCY LTD.,30 Jul 2020,Final Dividend - Rs. - 5.0000,31 Jul 2020,-,-,24 Jul 2020,30 Jul 2020,-
500280,CENTENKA,CENTURY ENKA LTD.,30 Jul 2020,Dividend - Rs. - 8.0000,-,03 Aug 2020,05 Aug 2020,27 Jul 2020,31 Jul 2020,-
500135,ESSELPRO,ESSEL PROPACK LTD.,30 Jul 2020,Final Dividend - Rs. - 2.0500,31 Jul 2020,-,-,24 Jul 2020,30 Jul 2020,-
505714,GABRIEL,GABRIEL INDIA LTD.-$,30 Jul 2020,Final Dividend - Rs. - 0.8500,-,01 Aug 2020,07 Aug 2020,27 Jul 2020,30 Jul 2020,-
500182,HEROMOTOCO,HERO MOTOCORP LTD.,30 Jul 2020,Final Dividend - Rs. - 25.0000,-,03 Aug 2020,12 Aug 2020,27 Jul 2020,31 Jul 2020,-
500696,HINDUNILVR,HINDUSTAN UNILEVER LTD.,30 Jul 2020,Special Dividend - Rs. - 9.5000,31 Jul 2020,-,-,24 Jul 2020,30 Jul 2020,-
542446,JONJUA,Jonjua Overseas Ltd,30 Jul 2020,Bonus issue 1:43,31 Jul 2020,-,-,24 Jul 2020,30 Jul 2020,-
507794,KHAICHEM,KHAITAN CHEMICALS & FERTILIZERS LTD.,30 Jul 2020,Dividend - Rs. - 0.2000,-,01 Aug 2020,07 Aug 2020,27 Jul 2020,30 Jul 2020,-
526423,KRITIIND,KRITI INDUSTRIES (INDIA) LTD.-$,30 Jul 2020,Final Dividend - Rs. - 0.1500,-,02 Aug 2020,08 Aug 2020,27 Jul 2020,30 Jul 2020,-
533210,KRITINUT,Kriti Nutrients Ltd,30 Jul 2020,Dividend - Rs. - 0.1800,-,02 Aug 2020,08 Aug 2020,27 Jul 2020,30 Jul 2020,-
532937,KUANTUM,KUANTUM PAPERS LTD.,30 Jul 2020,Dividend - Rs. - 2.5000,-,01 Aug 2020,07 Aug 2020,27 Jul 2020,30 Jul 2020,-
540704,MATRIMONY,Matrimony.com Ltd,30 Jul 2020,Final Dividend - Rs. - 1.5000,31 Jul 2020,-,-,24 Jul 2020,30 Jul 2020,-
540704,MATRIMONY,Matrimony.com Ltd,30 Jul 2020,Special Dividend - Rs. - 2.0000,31 Jul 2020,-,-,24 Jul 2020,30 Jul 2020,-
541301,ORIENTELEC,Orient Electric Ltd,30 Jul 2020,Final Dividend - Rs. - 0.5000,-,01 Aug 2020,07 Aug 2020,27 Jul 2020,30 Jul 2020,-
523708,EIMCOELECO,EIMCO ELECON (INDIA) LTD.,31 Jul 2020,Dividend - Rs. - 5.0000,-,04 Aug 2020,10 Aug 2020,28 Jul 2020,03 Aug 2020,-
500530,BOSCHLTD,BOSCH LTD.,03 Aug 2020,Final Dividend - Rs. - 105.0000,-,05 Aug 2020,27 Aug 2020,29 Jul 2020,04 Aug 2020,-
